country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","23-06-2026 16:00:00",28.4227,77.0667,CO,11,32,19
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB","23-06-2026 16:00:00",29.14056,75.744941,PM2.5,60,228,160
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB","23-06-2026 16:00:00",29.14056,75.744941,SO2,9,21,18
India,Haryana,Jind,"Police Lines, Jind - HSPCB","23-06-2026 16:00:00",29.307814,76.337619,NO2,28,49,40
India,Haryana,Jind,"Police Lines, Jind - HSPCB","23-06-2026 16:00:00",29.307814,76.337619,SO2,0,11,3
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","23-06-2026 16:00:00",29.6953,77.0027,NH3,6,7,6
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB","23-06-2026 16:00:00",13.003872,77.664217,PM10,NA,NA,NA
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB","23-06-2026 16:00:00",12.9756843,77.5660749,NO2,27,36,32
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB","23-06-2026 16:00:00",12.9756843,77.5660749,NH3,NA,NA,NA
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB","23-06-2026 16:00:00",12.9756843,77.5660749,CO,57,63,60
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","23-06-2026 16:00:00",13.029152,77.585901,PM2.5,2,12,5
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","23-06-2026 16:00:00",12.7816279,77.6299145,NH3,2,2,2
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","23-06-2026 16:00:00",12.9135218,77.5950804,NO2,19,20,19
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","23-06-2026 16:00:00",12.9135218,77.5950804,CO,47,62,53
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","23-06-2026 16:00:00",12.917348,77.622813,NH3,3,5,4
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","23-06-2026 16:00:00",12.917348,77.622813,CO,35,35,35
India,Kerala,Thrissur,"Corporation Ground, Thrissur - Kerala PCB","23-06-2026 16:00:00",10.5324,76.2159,NO2,8,10,9
India,Kerala,Thrissur,"Corporation Ground, Thrissur - Kerala PCB","23-06-2026 16:00:00",10.5324,76.2159,NH3,0,0,0
India,"Madhya Pradesh",Bhopal,"T T Nagar, Bhopal - MPPCB","23-06-2026 16:00:00",23.233584,77.400574,SO2,11,28,21
India,"Madhya Pradesh",Bhopal,"Idgah Hills, Bhopal - MPPCB","23-06-2026 16:00:00",23.264759,77.381568,PM2.5,15,43,29
India,"Madhya Pradesh",Bhopal,"Idgah Hills, Bhopal - MPPCB","23-06-2026 16:00:00",23.264759,77.381568,NH3,4,5,4
India,"Madhya Pradesh",Bhopal,"Idgah Hills, Bhopal - MPPCB","23-06-2026 16:00:00",23.264759,77.381568,SO2,6,10,8
India,"Madhya Pradesh",Bhopal,"Idgah Hills, Bhopal - MPPCB","23-06-2026 16:00:00",23.264759,77.381568,CO,17,27,21
India,"Madhya Pradesh",Bhopal,"Idgah Hills, Bhopal - MPPCB","23-06-2026 16:00:00",23.264759,77.381568,OZONE,22,34,31
India,"Madhya Pradesh",Damoh,"Shrivastav Colony, Damoh - MPPCB","23-06-2026 16:00:00",23.81748678,79.446246,SO2,42,59,50
India,"Madhya Pradesh",Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB","23-06-2026 16:00:00",26.259242,78.216432,PM10,71,219,110
India,"Madhya Pradesh",Gwalior,"Maharaj Bada, Gwalior - MPPCB","23-06-2026 16:00:00",26.200388,78.147714,NH3,5,6,6
India,"Madhya Pradesh",Gwalior,"City Center, Gwalior - MPPCB","23-06-2026 16:00:00",26.203442,78.193251,PM10,28,106,48
India,"Madhya Pradesh",Indore,"Regional Park, Indore - IMC","23-06-2026 16:00:00",22.678,75.8559,PM2.5,3,36,20
India,"Madhya Pradesh",Indore,"Regional Park, Indore - IMC","23-06-2026 16:00:00",22.678,75.8559,PM10,8,37,19
India,"Madhya Pradesh",Jabalpur,"Gupteshwar, Jabalpur - JMC","23-06-2026 16:00:00",23.142888,79.916147,OZONE,33,64,55
India,"Madhya Pradesh",Jabalpur,"Suhagi, Jabalpur - JMC","23-06-2026 16:00:00",23.218135,79.95777,NO2,73,78,74
India,"Madhya Pradesh",Jabalpur,"Suhagi, Jabalpur - JMC","23-06-2026 16:00:00",23.218135,79.95777,NH3,3,3,3
India,"Madhya Pradesh",Jabalpur,"Suhagi, Jabalpur - JMC","23-06-2026 16:00:00",23.218135,79.95777,SO2,3,9,6
India,"Madhya Pradesh",Katni,"Gole Bazar, Katni - MPPCB","23-06-2026 16:00:00",23.50016,80.23284,PM2.5,26,77,46
India,"Madhya Pradesh",Maihar,"Sahilara, Maihar - KJS Cements","23-06-2026 16:00:00",24.2613009,80.7231783,PM2.5,4,50,22
India,"Madhya Pradesh",Maihar,"Sahilara, Maihar - KJS Cements","23-06-2026 16:00:00",24.2613009,80.7231783,SO2,7,8,8
India,"Madhya Pradesh",Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB","23-06-2026 16:00:00",23.10844,77.511428,PM2.5,10,52,22
India,"Madhya Pradesh",Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB","23-06-2026 16:00:00",23.10844,77.511428,NH3,8,9,9
India,"Madhya Pradesh",Ratlam,"Shasthri Nagar, Ratlam - IPCA Lab","23-06-2026 16:00:00",23.331731,75.045981,PM2.5,6,118,39
India,"Madhya Pradesh",Ratlam,"Shasthri Nagar, Ratlam - IPCA Lab","23-06-2026 16:00:00",23.331731,75.045981,CO,NA,NA,NA
India,"Madhya Pradesh",Ratlam,"Shasthri Nagar, Ratlam - IPCA Lab","23-06-2026 16:00:00",23.331731,75.045981,OZONE,NA,NA,NA
India,"Madhya Pradesh",Sagar,"Civil Lines, Sagar - MPPCB","23-06-2026 16:00:00",23.838586,78.759431,OZONE,16,33,26
India,"Madhya Pradesh",Satna,"Bandhavgar Colony, Satna - Birla Cement","23-06-2026 16:00:00",24.58434363,80.8549414,NH3,NA,NA,NA
India,Maharashtra,Amravati,"Shivneri Colony, Amravati - MPCB","23-06-2026 16:00:00",20.9402359,77.7895248,NH3,2,2,2
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amravati - MPCB","23-06-2026 16:00:00",20.939198,77.765701,OZONE,18,26,24
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB","23-06-2026 16:00:00",19.863756,75.321188,NO2,10,26,16
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB","23-06-2026 16:00:00",19.863756,75.321188,NH3,1,4,2
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB","23-06-2026 16:00:00",19.863756,75.321188,SO2,9,27,16
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB","23-06-2026 16:00:00",19.863756,75.321188,OZONE,36,69,57
India,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB","23-06-2026 16:00:00",19.8389439,75.244448,NO2,8,12,10
India,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB","23-06-2026 16:00:00",19.8389439,75.244448,NH3,7,7,7
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB","23-06-2026 16:00:00",19.87562,75.38731,PM2.5,NA,NA,NA
